date,substance,valeur
2009,Total,43272
2010,Total,44071
2011,Total,43711
2012,Total,44789
2013,Total,45905
2014,Total,37602
2015,Total,37799
2016,Total,38519
2017,Total,37488
2018,Total,35728
2019,Total,34518
